timestamp,open,high,low,close,volume,pct_change,volatility,cumulative_return,body_size,is_bullish
2026-02-25 09:30:00,64888.0,64920.0,64887.0,64912.0,5959.92071517,,,,24.0,True
2026-02-25 09:31:00,64913.0,64939.0,64912.0,64938.0,40865.22233351,0.04005422726152119,,0.04005422726152119,25.0,True
2026-02-25 09:32:00,64941.0,64982.0,64940.0,64981.0,7652.60261366,0.06621700699127597,,0.10629775696326949,40.0,True
2026-02-25 09:33:00,64981.0,64986.0,64981.0,64985.0,1748.7827689,0.006155645496375151,,0.11245994577273599,4.0,True
2026-02-25 09:34:00,64986.0,64987.0,64985.0,64987.0,10962.37226787,0.0030776332999860045,,0.11554104017745814,1.0,True
2026-02-25 09:35:00,64988.0,64994.0,64962.0,64962.0,6430.20068467,-0.0384692323080027,,0.07702736011829803,26.0,False
2026-02-25 09:36:00,64973.0,64973.0,64943.0,64951.0,5568.82945066,-0.016932976201466943,,0.06008134089228179,22.0,False
2026-02-25 09:37:00,64951.0,64961.0,64948.0,64956.0,2100.35016316,0.0076981108835916245,,0.06778407690410937,5.0,True
2026-02-25 09:38:00,64956.0,64998.0,64954.0,64988.0,117312.8310055,0.04926411724859303,,0.11708158737981922,32.0,True
2026-02-25 09:39:00,64987.0,64996.0,64972.0,64996.0,2743.80315949,0.01230996491659031,,0.12940596499873003,9.0,True
2026-02-25 09:40:00,64996.0,64996.0,64985.0,64985.0,6657.15778757,-0.016924118407291022,,0.11245994577269158,11.0,False
2026-02-25 09:41:00,64986.0,64997.0,64986.0,64997.0,2329.53905679,0.018465799799960436,,0.1309465122010911,11.0,True
2026-02-25 09:42:00,64997.0,65001.0,64987.0,64997.0,4094.99977267,0.0,,0.1309465122010911,0.0,False
2026-02-25 09:43:00,64998.0,64998.0,64968.0,64968.0,800.5896263,-0.04461744388202238,,0.08627064333246448,30.0,False
2026-02-25 09:44:00,64969.0,64991.0,64969.0,64990.0,4013.21454796,0.03386282477526592,,0.12016268178451917,21.0,True
2026-02-25 09:45:00,64990.0,64991.0,64907.0,64933.0,18152.87675241,-0.08770580089244584,,0.0323514912496492,57.0,False
2026-02-25 09:46:00,64933.0,64958.0,64933.0,64935.0,7531.81657194,0.0030800979471168333,,0.035432585654393556,2.0,True
2026-02-25 09:47:00,64957.0,64979.0,64939.0,64966.0,33643.0355607,0.04774004774004137,,0.08318954892774233,9.0,True
2026-02-25 09:48:00,64966.0,64966.0,64929.0,64929.0,11179.52647391,-0.05695286765384777,,0.026189302440182693,37.0,False
2026-02-25 09:49:00,64929.0,64985.0,64929.0,64985.0,16495.21365214,0.08624805556838311,26.230707195956253,0.11245994577269158,56.0,True
2026-02-25 09:50:00,64985.0,65011.0,64985.0,65011.0,24136.21693502,0.04000923289990688,24.58497615682605,0.15251417303421277,26.0,True
2026-02-25 09:51:00,65021.0,65107.0,65020.0,65106.0,37712.45357707,0.1461291166110268,37.60794988745459,0.29886615725900345,85.0,True
2026-02-25 09:52:00,65106.0,65107.0,65088.0,65088.0,8258.20773902,-0.027647221454241144,44.649364939205654,0.2711363076164153,18.0,False
2026-02-25 09:53:00,65089.0,65109.0,65089.0,65103.0,19355.44554096,0.023045722713854744,51.773062493936045,0.294244515651898,14.0,True
2026-02-25 09:54:00,65103.0,65104.0,65084.0,65084.0,1654.74126725,-0.0291845229866472,55.70835711662002,0.26497411880694877,19.0,False
